item,id_netux,criterio_calificacion,nombre_equipo,estado_informe,codigo_certificado,marca,serie,descripcion,iq,oq,pq,cal,centro_costo,area,ubicacion_fisica,proveedor,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,fecha,dias_vigencia_certificado,torre,pendientes,p_iq,p_oq,p_pq,p_cal,precio_unitario
 (0-200) psi RECEPCIÓN OK,,,Manometro (0-200) psi,En Revisión,CC 368619 // CC 420753,WIKA,23936,Calibración metrologica,,,,CAL,4300.0,SAM,BAYPASS AIRE SUCC 2,Celsius,,,,,,,,,,X,,,2024-10-15,74,Sótano,Realizado,0,0.0,0.0,0.0,87996
 (0-200) psi RECEPCIÓN OK ,,,Manometro (0-200) psi,En Revisión,CC 368621 // CC423675,Wika,04594,Calibración metrologica,,,,CAL,4300.0,SAM,Unidad de regulación doble inferior oxigeno,Celsius,,,,,,,,,,X,,,2024-10-07,66,Sótano,Realizado,0,0.0,0.0,0.0,87996
 (0-200) psi RECEPCIÓN OK ,,,Manometro (0-200) psi,En Revisión,CC 374683 //  CC423673,Wika,4593,Calibración metrologica,,,,CAL,4300.0,SAM,Unidad de regulación semiautomático O2,Celsius,,,,,,,,,,X,,,2024-10-07,66,Sótano,Realizado,0,0.0,0.0,0.0,87996
 (0-200) psi  RECEPCIÓN OK,,,Manometro (0-200) psi,En Revisión,CC 374682 //  CC 420757,Wika,9746,Calibración metrologica,,,,CAL,4300.0,SAM,Unidad regulación semiautomátio aire sución,Celsius,,,,,,,,,,X,,,2024-10-15,74,Sótano,Realizado,0,0.0,0.0,0.0,87996
---,,Cumple,Cabina de seguridad biologica  ,,MP - CFL - 1219,Labconco,81094253,Calificación metrologica,,OQ,PQ,CAL,2300.0,Laboratorio Clínico,Microbiología,Ainser,,,X,,X,,,,,,,,2025-03-26,236,Torre A,Realizado,0,0.0,0.0,0.0,560000
 (0-200) psi RECEPCIÓN OK ,,,Manometro (0-200) psi,En Revisión,CC 374685 //  CC423676,Winters,8696,Calibración metrologica,,,,CAL,4300.0,SAM,BYPASS 2 O2,Celsius,,,,,,,,,,X,,,2024-10-07,66,Sótano,Realizado,0,0.0,0.0,0.0,87996
0.5 - 10 µl - IVL-099,,,Micropipeta,En Revisión,CAV-018-24 // CC 436691 // IM-VOL-25-0030,Scilogetx,Ym4d057039,Calibración metrologica,,OQ,PQ,CAL,2301.0,Biología Molecular,Biología molecular,Celsius,X,,,,,,,,,,,,2025-01-29,180,Torre H,Realizado,0,0.0,0.0,0.0,195000
20 - 200 µl ,,,Micropipeta,En Revisión,CC 384514 // CC 436690,Scilogetx,Ym4d060179,Calibración metrologica,,OQ,PQ,CAL,2301.0,Biología Molecular,Biología molecular,Celsius,X,,,,,,,,,,,,2025-01-27,178,Torre H,Realizado,0,0.0,0.0,0.0,111109
20 - 200 µl ,,,Micropipeta,En Revisión,CC 384522 // CC 436685,Fisherbrand,KU01094,Calibración metrologica,,OQ,PQ,CAL,2301.0,Biología Molecular,Biología molecular,Celsius,X,,,,,,,,,,,,2025-01-27,178,Torre H,Realizado,0,0.0,0.0,0.0,111109
5 - 50 µl ,,,Micropipeta,En Revisión,CC 381303 // CC 436687,Boeco,JG512823,Calibración metrologica,,OQ,PQ,CAL,2300.0,Laboratorio Clínico,Microbiología,Celsius,X,,,,,,,,,,,,2025-01-27,178,Torre A,Realizado,0,0.0,0.0,0.0,111109
2 - 20 µl ,,,Micropipeta,En Revisión,CC 384534 // CC 436686,Fisherbrand,KU01308,Calibración metrologica,,OQ,PQ,CAL,2301.0,Biología Molecular,Biología molecular,Celsius,X,,,,,,,,,,,,2025-01-27,178,Torre H,Realizado,0,0.0,0.0,0.0,111109
Recepción ok,,,Pesa bebe (20 kg),En Revisión,CC 419840 // CC 419840,Health O Meter,1524001378,Calibración metrologica,,OQ,PQ,CAL,2005.0,Urgencias Pediátricas,Urgencias pediátricas TFP1,Celsius,,,,,,,,,X,,,,2024-09-04,33,Torre F,Realizado,0,0.0,0.0,0.0,84311
(-30 - 30 in H2O) -- CRITERIO DE BAJA -- 22/05/2025,,No Cumple,Manómetro diferencial de presión ,Pendiente,CC 391593,Marsense ,YQN30320,Calibración metrologica,,,,CAL,2301.0,Biología Molecular,Ingreso post  PCR,Ainser,,,,X,X,X,,,,,,,2025-05-23,294,Torre H,Realizado,0,0.0,0.0,0.0,300000
"0,01 kg",,,Pesa bebe (20 kg),En Revisión,CC 402348 // CC 452711 ,Seca,5334235135516,Calibración metrologica,,OQ,PQ,CAL,1002.0,Unidad de trasplante,Unidad de transplante,Celsius,,,,,X,,,,,,,,2025-05-06,277,Torre F,Realizado,0,0.0,0.0,0.0,84311
REVISAR CC FTC,,Cumple,Pesa bebe (20 kg),En Revisión,27326 // CC 448265,ADE,55568-1034615-00025,Calibración metrologica,,OQ,PQ,CAL,800.0,UCI neonatal ,Uci neonatal ,Celsius,,,,X,,,,,,,,,2025-04-08,249,Torre C,Realizado,0,0.0,0.0,0.0,84311
---,,,Tallímetro,En Revisión,023,Seca,21244,Calibración metrologica,,,,CAL,1100.0,Hospitalización Adultos,Hospitalización Adultos - TAP4,FCI,,,,,,,X,,,,,,2024-07-26,-7,Torre A,Pendiente,0,0.0,0.0,0.0,0
EN CALIBRACIÓN -  EQUIPO ENTRA EN INDICADOR DE MARZO,,Cumple,Micropipeta Multicanal,En Revisión, CC 442376,Integra,7020712,Calibración metrologica,,OQ,PQ,CAL,2301.0,Biología Molecular,Biología molecular,Celsius,,X,x,,,,,,,,,,2025-03-10,220,Torre H,Realizado,0,0.0,0.0,0.0,518803
(-30 - 30 in H2O) -- CRITERIO DE BAJA -- 22/05/2025,,No Cumple,Manómetro diferencial de presión ,Pendiente,CC 391594,Marsense ,HYL33540,Calibración metrologica,,,,CAL,2301.0,Biología Molecular,salida exclusa inactivación ,Ainser,,,,X,X,X,,,,,,,2025-05-23,294,Torre H,Realizado,0,0.0,0.0,0.0,300000
EQUIPOS NUEVOS PENDIENTE CALIBRACION FRATTAL OT-51107-24,,Cumple,Termómetro - neveras,En Revisión,-,Alla france,A3442,Calibración metrologica,,,,CAL,1100.0,Hopitalización Adultos,Torre D piso 3,Ainser,,,,,,,,,X,,,,2024-09-21,50,Torre D,Realizado,0,0.0,0.0,90000.0,90000
Pendiente disponibilidad por Servicio - NO SE ENCUENTRA EL SERVICIO,,Cumple,Termómetro - neveras,En Revisión,2435,Alla france,T0475,Calibración metrologica,,,,CAL,4301.0,Farmacia ,Farmacia Central,Ainser,,,,,,,,,,,X,,2024-11-01,91,Torre A,Realizado,0,0.0,0.0,90000.0,90000
"-0,55 kg",,,Báscula (150 kg),En Revisión,CC 402811 // CC 457265,Health O Meter,454750,Calibración metrologica,,,,CAL,7410.0,Consulta externa,Torre I piso 10 C.02,Celsius,,,,,X,,,,,,,,2025-06-04,306,Torre I,Realizado,0,0.0,0.0,0.0,84311
"0,02 kg",,,Pesa bebe (20 kg),En Revisión,CC 402802 // CC 457900,Seca,8354100150632,Calibración metrologica,,OQ,PQ,CAL,7404.0,Consulta externa,Torre I piso 4 C.405,Celsius,,,,,X,,,,,,,,2025-06-16,318,Torre I,Realizado,0,0.0,0.0,0.0,84311
"-0,01 kg",,,Pesa bebe (20 kg),En Revisión,CC 402806 // CC 457264,Health O Meter,5240000854,Calibración metrologica,,OQ,PQ,CAL,7404.0,Consulta externa,Torre I piso 4 C.412,Celsius,,,,,X,,,,,,,,2025-06-04,306,Torre I,Realizado,0,0.0,0.0,0.0,84311
NO SE ENCOTRÓ EQUIPO EN EL ÁREA ESTABLECIDAD INICIALMENTE -- 31/08/2023,,,Tensiometro,En Revisión,CC 363826,TYCOS,59607910,Calibración metrologica,,,,CAL,1100.0,Hospitalización Torre D,Suit Carlos lleras TD Piso 3,Celsius,,,,,,,,X,,,,,2024-08-31,29,Torre D,Realizado,0,0.0,0.0,0.0,63944
---,,,Tensiometro,En Revisión,CC 387682 // CC 440104,Tycos,9312170110,Calibración metrologica,,,,CAL,3100.0,Banco de sangre,Banco de sangre,Celsius,,X,,,,,,,,,,,2025-02-06,188,Torre H,Realizado,0,0.0,0.0,0.0,63944
---,,,Tensiometro,En Revisión,CC 418461,TYCOS,69284261,Calibración metrologica,,,,CAL,7408.0,Consulta externa,Torre I Piso 8 C.806,Celsius,,,,,,,,X,,,,,2024-08-29,27,Torre I,Realizado,0,0.0,0.0,0.0,63944
RECEPCIÓN OK,,,Tensiometro,En Revisión,CC 419762,Tycos,59608421,Calibración metrologica,,,,CAL,1100.0,Hospitalización Adultos,TAP3,Celsius,,,,,,,,,X,,,,2024-09-04,33,Torre A,Realizado,0,0.0,0.0,0.0,63944
RECEPCIÓN PENDIENTE - CALIBRACIÓN DICIEMBRE FACTURACIÓN ENERO 2025,,,Tensiometro,En Revisión,CC 431570,Welch Allyn,9712080085,Calibración metrologica,,,,CAL,2000.0,Urgencias Adultos,Urgencias adultos consultorio cardiovascular,Celsius,,,,,,,,X,,,,X,2024-12-21,141,Torre A,Realizado,0,0.0,0.0,0.0,63944
"-0,1 kg",,,Báscula (150 kg),En Revisión,CC 402361 // CC 456935,Health O Meter,4020052395,Calibración metrologica,,,,CAL,3800.0,Unidad de la Mujer,Unidad de la Mujer,Celsius,,,,,X,,,,,,,,2025-06-17,319,Torre D,Realizado,0,0.0,0.0,0.0,84311
RECEPCIÓN OK ,,,Tensiometro digital,En Revisión,CC 375050 // CC 424936,Pangao,2202004183,Calibración metrologica,,OQ,PQ,CAL,3100.0,Banco de sangre,Banco de sangre,Celsius,,,,,,,,,,X,,,2024-10-30,89,Torre H,Realizado,0,0.0,0.0,0.0,84311
RECEPCIÓN OK ,,,Tensiometro digital,En Revisión,CC 420222,Riester,1001885,Calibración metrologica,,OQ,PQ,CAL,7000.0,Consulta externa,Torre E piso 5 - Investigaciones pediatría,Celsius,,,,,,,,,X,,,,2024-09-10,39,Torre E,Realizado,0,0.0,0.0,0.0,84311
---,,Cumple,Termómetro - neveras,En Revisión,3637,Alla france,A4387,Calibración metrologica,,,,CAL,3100.0,Banco de sangre,Banco de sangre,Ainser,,,,,,,,,,X,,,2024-10-09,68,Torre H,Realizado,0,0.0,0.0,90000.0,90000
---,,Cumple,Termómetro - neveras,En Revisión,CC 3636,Alla france,A3077,Calibración metrologica,,,,CAL,3100.0,Banco de sangre,Banco de sangre,Ainser,,,,,,,,,,X,,,2024-10-09,68,Torre H,Realizado,0,0.0,0.0,90000.0,90000
"0,002 kg",,,Pesa bebé (15 kg),En Revisión,CC 402363 // CC 456851 ,UWE,EY2322,Calibración metrologica,,OQ,PQ,CAL,2005.0,Urgencias Pediátricas,Urgencias pediátricas TAP1,Celsius,,,,,X,,,,,,,,2025-06-05,307,Torre F,Realizado,0,0.0,0.0,0.0,84311
REPETIDO,,,Termometro Infrarrojo,En Revisión,CA 251732,Fluke,33501261WS,Calibración metrologica,,OQ,PQ,CAL,5100.0,Cedismed,,Celsius,,,,,,,,,,X,,,2024-10-21,80,Sótano,Realizado,0,0.0,0.0,0.0,85425
---,,Cumple,Termómetro - neveras,En Revisión,CC 3635,Alla france,T0383,Calibración metrologica,,,,CAL,2301.0,Biología Molecular,Biología Molecular,Ainser,,,,,,,X,,,,,X,2024-10-08,67,Torre H,Realizado,0,0.0,0.0,90000.0,90000
---,,,Balanza (1200 g),En Revisión,CC 388159 //  CC 442688,Centron - GENESIS,3550842,Calibración metrologica,,,,CAL,3100.0,Banco de sangre,Banco de sangre,Celsius,,,X,,,,,,,,,,2025-03-03,213,Torre H,Realizado,0,0.0,0.0,0.0,84311
---,,,Balanza (1200 g),En Revisión,CC 388161 //  CC 442685,Centron - GENESIS,3550843,Calibración metrologica,,,,CAL,3100.0,Banco de sangre,Banco de sangre,Celsius,,X,,,,,,,,,,,2025-03-03,213,Torre H,Realizado,0,0.0,0.0,0.0,84311
---,,,Balanza (1200 g),En Revisión,CC 388162 //  CC 442686,Centron,3550844,Calibración metrologica,,,,CAL,3100.0,Banco de sangre,Banco de sangre,Celsius,,X,,,,,,,,,,,2025-03-03,213,Torre H,Realizado,0,0.0,0.0,0.0,84311
---,,,Balanza (1200 g),En Revisión,CC 388163 // CC 442684,Genesis,3541081,Calibración metrologica,,,,CAL,3100.0,Banco de sangre,Banco de sangre,Celsius,,X,,,,,,,,,,,2025-03-03,213,Torre H,Realizado,0,0.0,0.0,0.0,84311
---,,,Balanza (1200 g),En Revisión,CC 388164 // CC 442683 ,GENESIS,3550820,Calibración metrologica,,,,CAL,3100.0,Banco de sangre,Banco de sangre,Celsius,,X,,,,,,,,,,,2025-03-03,213,Torre H,Realizado,0,0.0,0.0,0.0,84311
---,,,Balanza (2400 g),En Revisión,CC 392623 // CC 451560,Centron,3594,Calibración metrologica,,,,CAL,3100.0,Banco de sangre,Banco de sangre,Celsius,,,,X,,,,,,,,,2025-04-28,269,Torre H,Realizado,0,0.0,0.0,0.0,84311
20 - 200 µl,,,Micropipeta,En Revisión,CC 402976 // CC 458547,Boeco,ML952992,Calibración metrologica,,OQ,PQ,CAL,2300.0,Laboratorio Clínico,Hematología,Celsius,,,,X,,,,,,,,,2025-05-28,299,Torre A,Realizado,0,0.0,0.0,0.0,111109
"0 g, SIN FTT",,,Balanza (3000 g),En Revisión,CC 402352 // CC 452713 ,Seca,8856088180225,Calibración metrologica,,,,CAL,800.0,UCI neonatal ,Uci neonatal ,Celsius,,,,,x,,,,,,,,2025-05-06,277,Torre C,Realizado,0,0.0,0.0,0.0,84311
"-1,9 mmHg",,,Tensiometro,En Revisión,CC 402333 // CC 457898,Welch Allyn,121109130866,Calibración metrologica,,,,CAL,1100.0,Hospitalización Suit Carlos Lleras,Hospitalización Suit Carlos Lleras,Celsius,,,,X,,,,,,,,,2025-06-16,318,Torre D,Realizado,0,0.0,0.0,0.0,63944
---,,,Balanza (3000 g),En Revisión,CC 392622 // CC 441680,Boeco,18906338,Calibración metrologica,,,,CAL,2400.0,Laboratorio Clínico,Laboratorio Clínico,Celsius,,X,,,,,,,,,,,2025-02-27,209,Torreón,Realizado,0,0.0,0.0,0.0,84311
1 g,,,Balanza (3000 g),En Revisión,CC 402820 // CC 452714,Seca,8856083120961,Calibración metrologica,,,,CAL,200.0,Hospitalización niños,Torre C piso 3 C.319,Celsius,,,,,x,,,,,,,,2025-05-06,277,Torre C,Realizado,0,0.0,0.0,0.0,84311
0 g,,,Balanza (3000 g),En Revisión,CC 402823 // CC 452716 ,Seca,8856240200264,Calibración metrologica,,,,CAL,200.0,Hospitalización niños,Suite pediátrica 4,Celsius,,,,,X,,,,,,,,2025-05-06,277,Torre C,Realizado,0,0.0,0.0,0.0,84311
6 g,,,Balanza (3000 g),En Revisión,CC 402821 // CC 457824,Seca,8856240200360,Calibración metrologica,,,,CAL,200.0,Hospitalización niños,Suite Pediátrica 1,Celsius,,,,X,,,,,,,,,2025-05-22,293,Torre C,Realizado,0,0.0,0.0,0.0,84311
4 g,,,Balanza (3000 g),En Revisión,CC 402826 // CC 452715 ,Seca,8856240200390,Calibración metrologica,,,,CAL,200.0,Hospitalización niños,Torre C piso 2 C.205,Celsius,,,,,x,,,,,,,,2025-05-06,277,Torre C,Realizado,0,0.0,0.0,0.0,84311
4 g RECEPCIÓN OK ,,,Balanza (3000 g),En Revisión,CC 402825 // CC 452716,Seca,8856240200389,Calibración metrologica,,,,CAL,200.0,Hospitalización niños,Torre C piso 2 C.201,Celsius,,,,,x,,,,,,,,2025-05-06,277,Torre C,Realizado,0,0.0,0.0,0.0,84311
2 g,,,Balanza (3000 g),En Revisión,CC 402359 // CC 456668,Seca,8856240200364,Calibración metrologica,,,,CAL,200.0,Hospitalización niños,Suite Pediátrica 2,Celsius,,,,X,,,,,,,,,2025-05-22,293,Torre C,Realizado,0,0.0,0.0,0.0,84311
---,,,Balanza Digital,En Revisión,CC 388160 // CC 442687,Genesis,3550821,Calibración metrologica,,,,CAL,3100.0,Banco de sangre,Banco de sangre,Celsius,,X,,,,,,,,,,,2025-03-03,213,Torre H,Realizado,0,0.0,0.0,0.0,84311
-6 g,,,Balanza (3000 g),En Revisión,CC 402347 // CC 452712 ,Seca,8856211180051,Calibración metrologica,,,,CAL,1002.0,Unidad de trasplante,Unidad de transplante,Celsius,,,,,x,,,,,,,,2025-05-06,277,Torre F,Realizado,0,0.0,0.0,0.0,84311
RECEPCIÓN OK ,,,Balanza (3000 g),En Revisión,CC 367283 // CC 424938,Seca,8856252200144,Calibración metrologica,,,,CAL,200.0,Hospitalización niños,Torre C piso 2 C.210,Celsius,,,,,,,,,,X,,,2024-10-31,90,Torre C,Realizado,0,0.0,0.0,0.0,84311
---,,Cumple,Báscula (150 kg),En Revisión,CC 388145 // CC 427998,Seca,5876256143299,Calibración metrologica,,,,CAL,7406.0,Consulta externa,Torre I piso 6 C.611,Celsius,,X,,,,,,,,,,,2025-02-27,209,Torre I,Realizado,0,0.0,0.0,0.0,84311
RECEPCIÓN OK ,,,Báscula (150 kg),En Revisión,CC 367726 // 423806,Seca,8813201191370,Calibración metrologica,,,,CAL,2005.0,Urgencias Pediátricas,Urgencias pediátricas TFP1,Celsius,,,,,,,,,X,,,,2024-10-01,60,Torre F,Realizado,0,0.0,0.0,0.0,84311
---,,Cumple,Báscula (150 kg),En Revisión,CC 388149 // CC 427993,Seca,5876256143348,Calibración metrologica,,,,CAL,2500.0,Medicina Nuclear,Gammacamara TAP1,Celsius,,X,,,,,,,,,,,2025-02-27,209,Torre A,Realizado,0,0.0,0.0,0.0,84311
"- 7 g, SIN FTT",,,Balanza (5000 g),En Revisión,CC 402819 // CC 452708,Cas,404100900/AD04100900,Calibración metrologica,,,,CAL,1100.0,Hospitalización Suit Carlos Lleras,Hospitalización Suit Carlos Lleras,Celsius,,,,X,,,,,,,,,2025-05-06,277,Torre D,Realizado,0,0.0,0.0,0.0,84311
---,,Cumple,Báscula (150 kg),En Revisión,CC 388144// CC427992,Seca,5876256143311,Calibración metrologica,,,,CAL,3800.0,Unidad de la Mujer,Unidad de la Mujer,Celsius,,X,,,,,,,,,,,2025-02-27,209,Torre D,Realizado,0,0.0,0.0,0.0,84311
---,,Cumple,Báscula (180 kg),En Revisión,CC 388146 // CC 441670,HEALTH O METER,1600000044,Calibración metrologica,,,,CAL,7406.0,Consulta externa,Torre I Piso 6 C. 606,Celsius,,X,,,,,,,,,,,2025-03-26,236,Torre I,Realizado,0,0.0,0.0,0.0,84311
---,,Cumple,Cabina de seguridad biologica  ,En Revisión,MP - CFL - 1218,Thermo  ,300174350,Calificación metrologica,,OQ,PQ,CAL,2300.0,Laboratorio Clínico,Microbiología,Ainser,,,X,,,,X,,,,,,2025-03-26,236,Torre A,Realizado,0,0.0,0.0,0.0,530000
"/////-/3,8 mmHg EQUIPO NO ENCONTRADO  ",,,Tensiometro,En Revisión,CC 402308,Welch Allyn,131031074826,Calibración metrologica,,,,CAL,7404.0,Consulta externa,Torre I piso 4 C.411,Celsius,,,,X,,X,,,,,,,2025-05-08,279,Torre I,Realizado,0,0.0,0.0,0.0,63944
EQUIPO NO ENCONTRADO 19/06/2025,,,Tensiometro,En Revisión,CC 402324,Welch Allyn,29600987,Calibración metrologica,,,,CAL,7409.0,Consulta externa,Torre I piso 9 C.908,Celsius,,,,X,,X,,,,,,,2025-05-08,279,Torre I,Realizado,0,0.0,0.0,0.0,63944
Equipo no se encuentra en el servicio 5/12/2024,,,Báscula (150 kg),,CC 388151 // CC 448269,Seca,5876300144289,Calibración metrologica,,,,CAL,2000.0,Urgencias Pediátricas,Urgencias Pediatría triage,Celsius,,X,,,,,,,,,,,2025-04-09,250,Torre F,Realizado,0,0.0,0.0,0.0,84311
SIN FF RECEPCIÓN OK ,,,Flujómetro,En Revisión,CA 265666-S // 272398,,T15UAA04757,Calibración metrologica,,OQ,PQ,CAL,4300.0,SAM,Central de gases,Celsius,,,,,X,,,,,,,,2025-06-16,318,Sótano,Realizado,0,0.0,0.0,0.0,71120
SIN FF RECEPCIÓN OK ,,,Flujómetro,En Revisión,CA 265667-S,,FMAA05622IN,Calibración metrologica,,OQ,PQ,CAL,4300.0,SAM,Central de gases,Celsius,,,,,,,,,,x,,,2024-09-25,54,Sótano,Realizado,0,0.0,0.0,0.0,71120
 (0-400)psi RECEPCIÓN OK ,,,Manometro (0-400)psi,En Revisión,CC 368614 // CC423681,Wika,04603,Calibración metrologica,,,,CAL,4300.0,SAM,Manifold banco izquierdo nitrogeno,Celsius,,,,,,,,,,X,,,2024-10-07,66,Sótano,Realizado,0,0.0,0.0,0.0,116664
 (0-400)psi RECEPCIÓN OK ,,,Manometro (0-400)psi,En Revisión,CC 368615 // CC423669,Wika,04595,Calibración metrologica,,,,CAL,4300.0,SAM,Manifol banco izquierdo oxigeno,Celsius,,,,,,,,,,X,,,2024-10-07,66,Sótano,Realizado,0,0.0,0.0,0.0,116664
 (0-400)psi RECEPCIÓN OK ,,,Manometro (0-400)psi,En Revisión,CC 368616 // CC423672,Wika,04604,Calibración metrologica,,,,CAL,4300.0,SAM,Manifol de oxigeno banco N2,Celsius,,,,,,,,,,X,,,2024-10-07,66,Sótano,Realizado,0,0.0,0.0,0.0,116664
 (0-400)psi RECEPCIÓN OK ,,,Manometro (0-400)psi,En Revisión,CC 368617 // CC 420760,Wika,04605,Calibración metrologica,,,,CAL,4300.0,SAM,Manifold nitrógeno banco N1,Celsius,,,,,,,,,,X,,,2024-10-15,74,Sótano,Realizado,0,0.0,0.0,0.0,116664
RECEPCIÓN OK ,,,Micropipeta,En Revisión,CC 374314 // CC 423548,Performane,KF886387,Calibración metrologica,,OQ,PQ,CAL,2301.0,Laboratorio Clínico,Laboratorio Clínico,Celsius,,,,,,,,,,X,,,2024-10-17,76,Torre A,Realizado,0,0.0,0.0,0.0,111109
